page_path,page_title,comic_id,title,asset_path,source_url,creator,license,license_url
index.qmd,The Handbook for the Recently Enrolled,59,Graduation,assets/xkcd/59-graduation.jpg,https://xkcd.com/59/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
status.qmd,About this edition,910,Permanence,assets/xkcd/910-permanence.png,https://xkcd.com/910/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-01/01-phd-and-good-enough.qmd,What a doctorate asks of you,1052,Every Major's Terrible,assets/xkcd/1052-every-major-s-terrible.png,https://xkcd.com/1052/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-01/02-first-90-days.qmd,Your first 90 days,1425,Tasks,assets/xkcd/1425-tasks.png,https://xkcd.com/1425/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-02/05-meetings-and-records.qmd,Supervision meetings that lead somewhere,1860,Communicating,assets/xkcd/1860-communicating.png,https://xkcd.com/1860/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-02/06-feedback-and-independence.qmd,"Feedback, disagreement and independence",481,Listen to Yourself,assets/xkcd/481-listen-to-yourself.png,https://xkcd.com/481/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-03/07-problem-gap-contribution.qmd,"Problem, gap and contribution",2368,Bigger Problem,assets/xkcd/2368-bigger-problem.png,https://xkcd.com/2368/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-03/08-topic-due-diligence.qmd,Choosing a topic worth pursuing,1205,Is It Worth the Time?,assets/xkcd/1205-is-it-worth-the-time.png,https://xkcd.com/1205/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-03/09-questions-and-pivots.qmd,"Research questions, aims and pivots",1282,Monty Hall,assets/xkcd/1282-monty-hall.png,https://xkcd.com/1282/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-04/10-search-ladder.qmd,The search ladder,386,Duty Calls,assets/xkcd/386-duty-calls.png,https://xkcd.com/386/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-04/11-reproducible-searching.qmd,Reproducible literature searches,979,Wisdom of the Ancients,assets/xkcd/979-wisdom-of-the-ancients.png,https://xkcd.com/979/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-04/12-reading-and-synthesis.qmd,"Reading, synthesis and citation",1447,Meta-Analysis,assets/xkcd/1447-meta-analysis.png,https://xkcd.com/1447/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-05/13-design-alignment.qmd,Matching the design to the claim,552,Correlation,assets/xkcd/552-correlation.png,https://xkcd.com/552/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-05/14-sampling-measurement-pilots.qmd,"Sampling, measurement and pilots",882,Significant,assets/xkcd/882-significant.png,https://xkcd.com/882/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-05/15-rigour-and-variation.qmd,"Rigour, bias and methodological choices",1478,P-Values,assets/xkcd/1478-p-values.png,https://xkcd.com/1478/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-06/16-ethics-privacy-consent.qmd,"Ethics, privacy and consent",263,Certainty,assets/xkcd/263-certainty.png,https://xkcd.com/263/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-06/17-integrity-governance-ai.qmd,"Research integrity, governance and AI",1838,Machine Learning,assets/xkcd/1838-machine-learning.png,https://xkcd.com/1838/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-06/18-authorship-collaboration-corrections.qmd,"Authorship, collaboration and corrections",2025,Peer Review,assets/xkcd/2025-peer-review.png,https://xkcd.com/2025/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-07/19-data-management-storage.qmd,"Data management, storage and recovery",2347,Dependency,assets/xkcd/2347-dependency.png,https://xkcd.com/2347/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-07/20-data-states-provenance.qmd,"Data states, codebooks and provenance",2582,Data Trap,assets/xkcd/2582-data-trap.png,https://xkcd.com/2582/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-08/23-analysis-review-quarto.qmd,"Analysis, writing and Quarto",1654,Universal Install Script,assets/xkcd/1654-universal-install-script.png,https://xkcd.com/1654/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-08/24-git-github-ai.qmd,"Git, GitHub and AI-assisted workflows",1597,Git,assets/xkcd/1597-git.png,https://xkcd.com/1597/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-09/25-milestones-weekly-work.qmd,"Milestones, dependencies and weekly progress",1205,Is It Worth the Time?,assets/xkcd/1205-is-it-worth-the-time.png,https://xkcd.com/1205/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-09/26-risks-blocked-change.qmd,"Risks, blocked work and changing plans",722,Computer Problems,assets/xkcd/722-computer-problems.png,https://xkcd.com/722/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-09/27-collaboration-handoffs-scope.qmd,"Collaboration, handoffs and scope",1782,Team Chat,assets/xkcd/1782-team-chat.png,https://xkcd.com/1782/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-10/28-writing-and-argument.qmd,Writing an argument,2456,Types of Scientific Paper,assets/xkcd/2456-types-of-scientific-paper.png,https://xkcd.com/2456/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-10/29-reviewable-work-feedback.qmd,Making work easier to review,2025,Peer Review,assets/xkcd/2025-peer-review.png,https://xkcd.com/2025/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-10/30-publishing-review-communication.qmd,Publishing and peer review,2304,Preprint,assets/xkcd/2304-preprint.png,https://xkcd.com/2304/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-11/31-failed-studies.qmd,When a study fails,349,Success,assets/xkcd/349-success.png,https://xkcd.com/349/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-11/33-decide-and-stuck.qmd,Deciding when you’re stuck,1282,Monty Hall,assets/xkcd/1282-monty-hall.png,https://xkcd.com/1282/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-12/34-independence-contribution.qmd,Independence and contribution,451,Impostor,assets/xkcd/451-impostor.png,https://xkcd.com/451/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-12/35-examination-corrections.qmd,Examination and corrections,2025,Peer Review,assets/xkcd/2025-peer-review.png,https://xkcd.com/2025/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
chapters/part-12/36-closure-transition.qmd,Closing and archiving the project,910,Permanence,assets/xkcd/910-permanence.png,https://xkcd.com/910/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
resources.qmd,Practical resources,2601,Instructions,assets/xkcd/2601-instructions.png,https://xkcd.com/2601/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/index.qmd,How the checklists work,2601,Instructions,assets/xkcd/2601-instructions.png,https://xkcd.com/2601/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/doctoral-journey.qmd,The whole doctorate: one checklist,59,Graduation,assets/xkcd/59-graduation.jpg,https://xkcd.com/59/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/starting-candidature.qmd,What should I set up when candidature begins?,1425,Tasks,assets/xkcd/1425-tasks.png,https://xkcd.com/1425/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/first-90-day-review.qmd,What should I check after 90 days?,1205,Is It Worth the Time?,assets/xkcd/1205-is-it-worth-the-time.png,https://xkcd.com/1205/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/before-study-commitment.qmd,Is this study ready to commit to?,1205,Is It Worth the Time?,assets/xkcd/1205-is-it-worth-the-time.png,https://xkcd.com/1205/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/research-question-stress-test.qmd,Can this research question carry the study?,974,The General Problem,assets/xkcd/974-the-general-problem.png,https://xkcd.com/974/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/search-ladder.qmd,How much searching does this decision need?,386,Duty Calls,assets/xkcd/386-duty-calls.png,https://xkcd.com/386/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/pilot-readiness.qmd,Is this pilot ready to run?,882,Significant,assets/xkcd/882-significant.png,https://xkcd.com/882/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/before-ethics-submission.qmd,Is this application ready for ethics or governance review?,263,Certainty,assets/xkcd/263-certainty.png,https://xkcd.com/263/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/before-data-collection.qmd,Is this study ready to collect data?,397,Unscientific,assets/xkcd/397-unscientific.png,https://xkcd.com/397/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/before-analysis.qmd,Is this study ready for analysis?,552,Correlation,assets/xkcd/552-correlation.png,https://xkcd.com/552/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/git-github-starter.qmd,Is this project ready for Git and GitHub?,1597,Git,assets/xkcd/1597-git.png,https://xkcd.com/1597/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/ai-use-decision.qmd,Can I use AI for this task?,1838,Machine Learning,assets/xkcd/1838-machine-learning.png,https://xkcd.com/1838/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/before-study-write-up.qmd,Is this study ready to write up?,2456,Types of Scientific Paper,assets/xkcd/2456-types-of-scientific-paper.png,https://xkcd.com/2456/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/before-manuscript-submission.qmd,Is this manuscript ready to submit?,2025,Peer Review,assets/xkcd/2025-peer-review.png,https://xkcd.com/2025/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/good-enough-rubric.qmd,Is this good enough for its next use?,974,The General Problem,assets/xkcd/974-the-general-problem.png,https://xkcd.com/974/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
checklists/pivot-continue-stop.qmd,"Should I continue, pivot or stop?",1282,Monty Hall,assets/xkcd/1282-monty-hall.png,https://xkcd.com/1282/,Randall Munroe / xkcd,CC BY-NC 2.5,https://creativecommons.org/licenses/by-nc/2.5/
